transaction_id,merchant_id,amount,currency,settled_at,processor_reference,status
4bb00f20-b27c-4026-a703-b6365380b904,MERCH_0071,778.00,BRL,2025-03-18T01:15:38Z,PS-2025-0000000001,SETTLED
714c7df4-e434-4d51-8158-1092f335cba3,MERCH_0079,17.83,BRL,2025-03-18T13:20:59Z,PS-2025-0000000004,SETTLED
b3f6fe0d-4860-4b32-b4fb-0eb949c13de7,MERCH_0059,8.84,BRL,2025-03-18T04:36:15Z,PS-2025-0000000017,SETTLED
3e652603-78e3-454b-baf1-4ff07b85179a,MERCH_0059,526.39,BRL,2025-03-18T12:57:18Z,PS-2025-0000000022,SETTLED
42a259a6-c664-4285-8303-cbc11e2595b8,MERCH_0091,88.19,BRL,2025-03-18T19:05:23Z,PS-2025-0000000061,SETTLED
fd61f13b-37f2-4d36-8bdd-cee370fd6672,MERCH_0055,188.06,BRL,2025-03-18T07:30:53Z,PS-2025-0000000109,SETTLED
fed747be-afd0-42f7-a352-44446f04af36,MERCH_0018,62.98,BRL,2025-03-18T06:42:47Z,PS-2025-0000000155,SETTLED
b2357a3c-cc7f-4517-8bfd-4a31c8c85ad6,MERCH_0037,59.27,BRL,2025-03-18T15:09:32Z,PS-2025-0000000170,SETTLED
f4c873a7-5a94-4a40-a32e-3ab58802d74a,MERCH_0056,47.39,BRL,2025-03-18T21:29:36Z,PS-2025-0000000261,SETTLED
e55ec749-7952-45ad-8ba9-9d78b49875d0,MERCH_0038,872.95,USD,2025-03-18T21:28:27Z,PS-2025-0000000286,SETTLED
05fef7bc-28f7-4d49-a2bc-491ec1cdc9a4,MERCH_0004,4.66,BRL,2025-03-18T15:22:07Z,PS-2025-0000000342,SETTLED
0858f527-792d-4499-b497-375c366fbddd,MERCH_0096,203.41,BRL,2025-03-18T19:15:55Z,PS-2025-0000000346,SETTLED
b1cb62d0-8685-42d2-9fb6-8406b6658a34,MERCH_0062,40.60,BRL,2025-03-18T05:54:12Z,PS-2025-0000000370,SETTLED
2101d598-f7ad-4965-b25b-56dc462e9af3,MERCH_0038,651.49,BRL,2025-03-18T09:47:47Z,PS-2025-0000000430,SETTLED
a1aa8c49-4ed9-474f-b4f4-8fdc0351d800,MERCH_0021,168.68,BRL,2025-03-18T04:52:44Z,PS-2025-0000000644,SETTLED
29a9bbf0-da82-45a0-8b1b-928073a44f97,MERCH_0006,34.79,BRL,2025-03-18T18:52:49Z,PS-2025-0000000668,SETTLED
54ca6257-910a-4b6f-ab56-b091665c9da5,MERCH_0039,52.39,BRL,2025-03-18T15:12:58Z,PS-2025-0000000697,SETTLED
da26ec89-64b5-4f4e-8833-5cee48a05e4f,MERCH_0044,243.73,BRL,2025-03-18T01:04:53Z,PS-2025-0000000701,SETTLED
d5d16ae2-c940-40fa-8850-9d96cf928274,MERCH_0082,230.14,BRL,2025-03-18T21:24:16Z,PS-2025-0000000713,SETTLED
f613aed3-b9da-42b4-8c97-560197b1afbd,MERCH_0022,26.48,BRL,2025-03-18T14:48:12Z,PS-2025-0000000762,SETTLED
db65e8d6-2660-473f-8abe-fd88626cea12,MERCH_0080,86.75,BRL,2025-03-18T06:13:30Z,PS-2025-0000000770,SETTLED
4e7e9ac8-31b4-409c-81f2-39e439659c7a,MERCH_0081,753.52,BRL,2025-03-18T00:27:37Z,PS-2025-0000000775,SETTLED
991228be-d483-464a-a586-88744c3167b6,MERCH_0064,202.82,BRL,2025-03-18T04:22:47Z,PS-2025-0000000806,SETTLED
6c68d37a-aba0-44bd-9993-28992a545726,MERCH_0072,193.64,BRL,2025-03-18T14:29:48Z,PS-2025-0000000812,SETTLED
