transaction_id,merchant_id,amount,currency,settled_at,processor_reference,status
cab4923b-f448-4385-8de7-ad6c949077c2,MERCH_0095,562.23,BRL,2025-03-21T23:27:42Z,PS-2025-0000000046,SETTLED
ecf32053-af36-48cc-9308-7974ec95b3ac,MERCH_0036,185.54,BRL,2025-03-21T06:18:44Z,PS-2025-0000000094,SETTLED
2a7dc57c-6d9c-4b50-a1fd-41879c3a1e0b,MERCH_0079,57.35,BRL,2025-03-21T01:45:57Z,PS-2025-0000000110,SETTLED
d90f74e9-06dd-46ca-b0c3-0a59f0f7ad22,MERCH_0085,118.07,BRL,2025-03-21T14:07:18Z,PS-2025-0000000117,SETTLED
dbd30aec-0b46-4173-80a8-547382425912,MERCH_0002,67.80,BRL,2025-03-21T04:11:57Z,PS-2025-0000000122,SETTLED
8cf9eea9-e1fd-46d1-a978-52217fb75c57,MERCH_0062,35.41,BRL,2025-03-21T19:56:55Z,PS-2025-0000000130,SETTLED
683c510e-d2ef-493b-a9d6-bb7e361db014,MERCH_0095,68.37,BRL,2025-03-21T12:15:03Z,PS-2025-0000000145,SETTLED
27a158a0-efff-42f4-b5ae-329d77617d80,MERCH_0006,181.98,BRL,2025-03-21T07:17:05Z,PS-2025-0000000172,SETTLED
540e7d01-735d-48f3-bc61-66df515a6b43,MERCH_0079,17.26,BRL,2025-03-21T06:32:29Z,PS-2025-0000000179,SETTLED
2978cc73-1440-4dec-9243-9b0fe835f080,MERCH_0044,50.08,BRL,2025-03-21T20:48:45Z,PS-2025-0000000203,SETTLED
94ad345a-e323-4264-a390-0c1dd1291d13,MERCH_0097,38.29,BRL,2025-03-21T16:14:18Z,PS-2025-0000000252,SETTLED
c29a988f-18a9-4210-9f8c-2c519f3936a5,MERCH_0010,87.35,BRL,2025-03-21T09:54:14Z,PS-2025-0000000301,SETTLED
55367ab6-0d57-4085-8f0a-64508e978ce1,MERCH_0031,175.07,BRL,2025-03-21T10:19:44Z,PS-2025-0000000319,SETTLED
8073aa66-d7b4-4b17-8b65-85171519613c,MERCH_0066,49.60,BRL,2025-03-21T15:45:46Z,PS-2025-0000000372,SETTLED
