transaction_id,merchant_id,amount,currency,settled_at,processor_reference,status
458f1f19-3c07-4574-8925-7af1b6aae05b,MERCH_0043,34.18,BRL,2025-03-09T07:59:52Z,PS-2025-0000000005,SETTLED
dc33e1f9-4c1f-45ab-b156-29eee893be3d,MERCH_0076,170.41,EUR,2025-03-09T01:01:34Z,PS-2025-0000000016,SETTLED
a663d2cd-b6f6-4bf1-96d4-41cc195d82f8,MERCH_0043,6.83,BRL,2025-03-09T17:01:34Z,PS-2025-0000000053,SETTLED
fb756923-f910-4bb3-b105-32523990e2c9,MERCH_0039,193.73,BRL,2025-03-09T04:09:29Z,PS-2025-0000000074,SETTLED
d5d1c669-1c45-4357-a829-4a6716c8e3d7,MERCH_0074,15.99,BRL,2025-03-09T06:05:58Z,PS-2025-0000000158,SETTLED
ddfc2a92-7074-4eb3-bc52-17ccf4672866,MERCH_0079,80.16,BRL,2025-03-09T01:24:28Z,PS-2025-0000000232,SETTLED
f17aa7a9-243d-416d-8563-abbe51883a26,MERCH_0091,33.69,BRL,2025-03-09T02:45:10Z,PS-2025-0000000247,SETTLED
5d0b042d-e9b1-4c76-820f-beef9defeab9,MERCH_0051,4.90,BRL,2025-03-09T04:13:57Z,PS-2025-0000000249,SETTLED
0d36f5e4-92a6-43e6-ab48-c6e694010dfe,MERCH_0085,128.89,EUR,2025-03-09T19:14:10Z,PS-2025-0000000258,SETTLED
3edec38e-0717-4ef3-b121-68632663ed11,MERCH_0040,62.03,BRL,2025-03-09T08:46:37Z,PS-2025-0000000309,SETTLED
bbcaa210-2fe6-4a89-9059-b5947c08a960,MERCH_0064,104.60,BRL,2025-03-09T02:39:31Z,PS-2025-0000000522,SETTLED
84aa6e12-208a-4c4f-b366-da877f7ac78c,MERCH_0005,5.83,BRL,2025-03-09T03:08:58Z,PS-2025-0000000623,SETTLED
c95d2093-f2e2-4d2f-8af3-c094b61ed8af,MERCH_0011,87.47,BRL,2025-03-09T08:05:28Z,PS-2025-0000000634,SETTLED
cd2c4a30-9268-4d81-a76c-f20210a12a0b,MERCH_0031,119.88,BRL,2025-03-09T21:42:33Z,PS-2025-0000000637,SETTLED
0f0a1d5b-1457-4a44-896b-922727bc7004,MERCH_0076,170.57,BRL,2025-03-09T20:47:41Z,PS-2025-0000000702,SETTLED
a7f655fb-8b89-43fd-ad5f-62b0541e4d9c,MERCH_0026,56.43,BRL,2025-03-09T07:09:50Z,PS-2025-0000000708,SETTLED
